"ID" "Student Name" "Student Email" "Branch Code" "Academic Batch" "CGPA" "Sign_In_Count"
"41" "kuaklirn" "kuaklirn8015.bohm@nighthack.in" "bohm008" "2015" "5.76" "111"
"42" "raiihsr" "raiihsr3021.ae@nighthack.in" "ae013" "2017" "6.71" "151"
"43" "hesvak" "hesvak3037.eaee@nighthack.in" "eaee003" "2015" "9.0" "28"
"44" "eaerisvns" "eaerisvns8009.te@nighthack.in" "te078" "2017" "9.1" "0"
"45" "s.amakh" "s.amakh8005.bohm@nighthack.in" "bohm008" "2014" "9.05" "117"
"46" "mbbeoho" "mbbeoho6065.hrm@nighthack.in" "hrm048" "2017" "7.04" "0"
"47" "hpiipl" "hpiipl8125.bohm@nighthack.in" "bohm008" "2017" "9.17" "5"
"48" "hasalhikebm" "hasalhikebm4012.ad@nighthack.in" "ad024" "2016" "8.08" "23"
"49" "eerkahtna" "eerkahtna2060.csae@nighthack.in" "csae002" "2016" "7.12" "11"
"50" "lpuvaairye" "lpuvaairye2002.spact@nighthack.in" "spact032" "2015" "6.25" "65"
"51" "bdamaale" "bdamaale2002.moha@nighthack.in" "moha086" "2015" "5.17" "25"
"52" "mnjuhtana" "mnjuhtana0001.ceam@nighthack.in" "ceam040" "2018" "7.46" "6"
"53" "huisaktha" "huisaktha9018.bop@nighthack.in" "bop009" "2016" "9.56" "274"
"54" "aaiivhnvs" "aaiivhnvs3024.ae@nighthack.in" "ae013" "2017" "6.24" "75"
"55" "erkmae" "erkmae1002.hm@nighthack.in" "hm111" "2018" "8.78" "15"
"56" "dharayrridnae" "dharayrridnae9008.csd@nighthack.in" "csd039" "2017" "5.78" "1"
"57" "shvgine" "shvgine8064.bohm@nighthack.in" "bohm008" "2014" "4.75" "12"
"58" "hdyaitaai" "hdyaitaai9001.eamm@nighthack.in" "eamm221" "2015" "8.89" "4"
"59" "yeiodt" "yeiodt8130.bohm@nighthack.in" "bohm008" "2016" "9.86" "47"
"60" "vdsaart" "vdsaart0417.ceam@nighthack.in" "ceam040" "2015" "4.97" "11"
"61" "ascinh" "ascinh6018.csan@nighthack.in" "csan036" "2014" "5.74" "5"
"62" "ishav" "ishav9070.bop@nighthack.in" "bop009" "2018" "9.14" "27"
"63" "dvna.yar" "dvna.yar2003.papd@nighthack.in" "papd072" "2015" "9.23" "5"
"64" "hsmtaaan" "hsmtaaan8066.bohm@nighthack.in" "bohm008" "2014" "6.43" "96"
"65" "utrhnia" "utrhnia7055.ba@nighthack.in" "ba017" "2018" "5.53" "92"
"66" "aurklkni" "aurklkni4006.bodfd@nighthack.in" "bodfd014" "2018" "4.75" "7"
"67" "hsrndaa" "hsrndaa0008.dop@nighthack.in" "dop010" "2018" "4.71" "8"
"68" "htbaar" "htbaar6027.moha@nighthack.in" "moha086" "2018" "6.29" "0"
"69" "mmohaed" "mmohaed9031.fpat@nighthack.in" "fpat019" "2018" "9.99" "53"
"70" "ehdume" "ehdume4005.ad@nighthack.in" "ad024" "2015" "8.98" "1"
"71" "iruspabw" "iruspabw3010.eaee@nighthack.in" "eaee003" "2017" "5.37" "11"
"72" "eamsaer" "eamsaer9004.oado@nighthack.in" "oado069" "2016" "8.39" "3"
"73" "lkornakae" "lkornakae1002.pd@nighthack.in" "pd041" "2015" "6.18" "9"
"74" "sainavr" "sainavr4075.hrm@nighthack.in" "hrm048" "2015" "4.58" "7"
"75" "sashu" "sashu8115.bohm@nighthack.in" "bohm008" "2016" "9.48" "69"
"76" "wjarpla" "wjarpla8003.amd@nighthack.in" "amd028" "2018" "6.86" "0"
"77" "aivmhs" "aivmhs2170.csae@nighthack.in" "csae002" "2017" "7.93" "6"
"78" "asekhr" "asekhr2140.csae@nighthack.in" "csae002" "2017" "6.57" "178"
"79" "pbrulha" "pbrulha6036.pd@nighthack.in" "pd006" "2017" "6.64" "74"
"80" "sefsa" "sefsa9007.csd@nighthack.in" "csd039" "2018" "7.09" "0"
"81" "siraahw" "siraahw4026.fm@nighthack.in" "fm047" "2015" "9.69" "47"
"82" "ssehvra" "ssehvra1036.bods@nighthack.in" "bods011" "2015" "5.68" "117"
"83" "onahmcna" "onahmcna0015.dop@nighthack.in" "dop010" "2014" "9.74" "88"
"84" "autldkvyc.kiaalratri" "autldkvyc.kiaalratri0001.opam@nighthack.in" "opam070" "2015" "7.53" "5"
"85" "alijwas" "alijwas2153.csae@nighthack.in" "csae002" "2016" "7.15" "19"
"86" "vghsine" "vghsine8002.ae@nighthack.in" "ae208" "2018" "4.95" "6"
"87" "rhsaid" "rhsaid4026.fm@nighthack.in" "fm047" "2014" "6.14" "11"
"88" "asummngha" "asummngha5001.ae@nighthack.in" "ae201" "2014" "9.47" "1"
"89" "edbarabot" "edbarabot4005.ad@nighthack.in" "ad024" "2018" "8.22" "0"
"90" "oraoavp" "oraoavp2004.papd@nighthack.in" "papd072" "2016" "9.28" "4"
"91" "sianhiw" "sianhiw9003.csd@nighthack.in" "csd039" "2015" "5.01" "1"
"92" "anshtrap" "anshtrap4077.eace@nighthack.in" "eace004" "2018" "7.36" "0"
"93" "nukar" "nukar9016.bop@nighthack.in" "bop009" "2017" "5.35" "129"
"94" "maaims" "maaims1049.bods@nighthack.in" "bods011" "2018" "9.03" "17"
"95" "limsoui" "limsoui9039.bop@nighthack.in" "bop009" "2017" "8.93" "29"
"96" "soaduz" "soaduz9015.bop@nighthack.in" "bop009" "2017" "6.16" "52"
"97" "hinsmae" "hinsmae2015.csae@nighthack.in" "csae002" "2018" "7.37" "62"
"98" "hancadna" "hancadna8033.bohm@nighthack.in" "bohm008" "2017" "8.65" "80"
"99" "ttaiyhpma" "ttaiyhpma4013.fm@nighthack.in" "fm047" "2014" "8.01" "3"
"100" "jansaj" "jansaj2108.csae@nighthack.in" "csae002" "2016" "6.22" "27"
"101" "tevaean" "tevaean9007.dpieats@nighthack.in" "dpieats729" "2017" "5.39" "0"
"102" "smaahr" "smaahr3002.pcab@nighthack.in" "pcab073" "2016" "8.86" "3"
"103" "uhliuask" "uhliuask1013.bods@nighthack.in" "bods011" "2015" "9.43" "17"
"104" "haahctne" "haahctne3303.eaee@nighthack.in" "eaee003" "2016" "7.23" "38"
"105" "srpnua" "srpnua9028.bop@nighthack.in" "bop009" "2017" "4.83" "47"
"106" "napauamvrk" "napauamvrk4074.eace@nighthack.in" "eace004" "2018" "8.52" "15"
"107" "agthmowi" "agthmowi7002.seawm@nighthack.in" "seawm077" "2018" "6.99" "0"
"108" "hmdemmoa" "hmdemmoa5001.td@nighthack.in" "td025" "2018" "6.01" "0"
"109" "ivssrianh" "ivssrianh4034.eace@nighthack.in" "eace004" "2015" "7.23" "44"
"110" "whhatse" "whhatse1059.ce@nighthack.in" "ce001" "2015" "5.2" "176"
"111" "awralabn" "awralabn4031.eace@nighthack.in" "eace004" "2015" "7.28" "23"
"112" "isaatvrasv" "isaatvrasv5096.me@nighthack.in" "me005" "2017" "6.96" "173"
"113" "oirclane" "oirclane1069.bods@nighthack.in" "bods011" "2015" "6.74" "28"
"114" "kayaav" "kayaav2004.moha@nighthack.in" "moha086" "2015" "6.77" "15"
"115" "hhsahrit" "hhsahrit6013.pd@nighthack.in" "pd006" "2016" "5.24" "3"
"116" "nvashia" "nvashia5301.me@nighthack.in" "me005" "2017" "8.32" "2"
"117" "ihaprhtsta" "ihaprhtsta6029.pd@nighthack.in" "pd006" "2016" "6.94" "55"
"118" "aahcitr" "aahcitr4003.eace@nighthack.in" "eace004" "2014" "9.54" "49"
"119" "nmtayo" "nmtayo5005.dpipa@nighthack.in" "dpipa725" "2018" "7.95" "0"
"120" "gnaag" "gnaag1040.ce@nighthack.in" "ce001" "2015" "4.94" "114"
"121" "gatsauhhf" "gatsauhhf7101.hrm@nighthack.in" "hrm048" "2018" "6.31" "0"
"122" "iagondmv" "iagondmv2401.csae@nighthack.in" "csae002" "2015" "9.1" "70"
"123" "yhgaab" "yhgaab8003.p@nighthack.in" "p058" "2018" "5.81" "3"
"124" "kuilhluecarm" "kuilhluecarm6009.pd@nighthack.in" "pd006" "2016" "5.42" "42"
"125" "bhusmha" "bhusmha8101.bohm@nighthack.in" "bohm008" "2017" "8.41" "0"
"126" "ajasvalniir" "ajasvalniir3009.na@nighthack.in" "na000" "2014" "6.44" "1"
"127" "iibtsna" "iibtsna6034.aaf@nighthack.in" "aaf016" "2018" "5.0" "0"
"128" "arhi" "arhi2131.csae@nighthack.in" "csae002" "2016" "5.74" "103"
"129" "srgeraardhpavndaa" "srgeraardhpavndaa0012.ceam@nighthack.in" "ceam040" "2016" "6.02" "23"
"130" "msahitha" "msahitha2156.csae@nighthack.in" "csae002" "2017" "7.36" "75"
"131" "knrateahe" "knrateahe6008.aaf@nighthack.in" "aaf016" "2018" "6.0" "73"
"132" "wyhraiaas" "wyhraiaas2004.csae@nighthack.in" "csae002" "2015" "9.06" "50"
"133" "hciraat" "hciraat2007.ase@nighthack.in" "ase012" "2018" "5.29" "43"
"134" "uaharsb" "uaharsb6020.pd@nighthack.in" "pd006" "2015" "5.53" "19"
"135" "oeregg" "oeregg1028.bods@nighthack.in" "bods011" "2016" "7.11" "154"
"136" "rhtaba" "rhtaba3009.eaee@nighthack.in" "eaee003" "2016" "6.39" "3"
"137" "unstaanh" "unstaanh4117.eace@nighthack.in" "eace004" "2018" "6.44" "30"
"138" "raahrjkesa" "raahrjkesa2223.csae@nighthack.in" "csae002" "2017" "6.16" "83"
"139" "anwpa" "anwpa1009.ae@nighthack.in" "ae021" "2016" "5.18" "9"
"140" "hpartmaaa" "hpartmaaa2146.csae@nighthack.in" "csae002" "2016" "8.26" "0"
"141" "kshebiha" "kshebiha0003.ceam@nighthack.in" "ceam040" "2015" "8.45" "7"
"142" "himtkaausrnr" "himtkaausrnr9002.amd@nighthack.in" "amd219" "2016" "5.81" "6"
"143" "unrdsasha" "unrdsasha2122.csae@nighthack.in" "csae002" "2018" "5.35" "14"
"144" "niahswi" "niahswi4006.eace@nighthack.in" "eace004" "2016" "6.6" "3"
"145" "nshrknia" "nshrknia3028.eaee@nighthack.in" "eaee003" "2016" "4.64" "74"
"146" "srahih" "srahih9009.csd@nighthack.in" "csd039" "2018" "8.33" "2"
"147" "ytthse" "ytthse2016.csae@nighthack.in" "csae002" "2018" "5.41" "27"
"148" "meshkly" "meshkly2003.dpidss@nighthack.in" "dpidss732" "2016" "9.86" "0"
"149" "arhiksauvm" "arhiksauvm5046.me@nighthack.in" "me005" "2018" "5.23" "69"
"150" "uhenpte" "uhenpte8064.bohm@nighthack.in" "bohm008" "2015" "9.42" "61"
"151" "sakah" "sakah5001.td@nighthack.in" "td025" "2017" "5.02" "7"
"152" "hraajrbevsaswiaa" "hraajrbevsaswiaa3004.vsd@nighthack.in" "vsd033" "2018" "5.07" "0"
"153" "easlhte" "easlhte2006.spact@nighthack.in" "spact032" "2014" "4.64" "9"
"154" "sknhahsa" "sknhahsa8094.bohm@nighthack.in" "bohm008" "2017" "6.45" "62"
"155" "aknaav" "aknaav7019.fm@nighthack.in" "fm047" "2018" "4.97" "3"
"156" "luhaabdl" "luhaabdl5014.mlais@nighthack.in" "mlais075" "2018" "8.25" "19"
"157" "eahbarhsmi" "eahbarhsmi7002.rtes@nighthack.in" "rtes037" "2015" "5.64" "2"
"158" "avaln" "avaln4041.eace@nighthack.in" "eace004" "2018" "7.68" "43"
"159" "aypinrak" "aypinrak9002.dpieats@nighthack.in" "dpieats709" "2016" "6.34" "0"
"160" "rmayau" "rmayau8020.bohm@nighthack.in" "bohm008" "2017" "7.41" "61"
"161" "daanan" "daanan6009.pd@nighthack.in" "pd006" "2017" "7.64" "65"
"162" "naayirrpk" "naayirrpk2132.csae@nighthack.in" "csae002" "2017" "8.94" "78"
"163" "insihl" "insihl8107.bohm@nighthack.in" "bohm008" "2016" "6.32" "123"
"164" "navhedt" "navhedt5088.me@nighthack.in" "me005" "2017" "6.22" "59"
"165" "alamgymanmba" "alamgymanmba8005.te@nighthack.in" "te078" "2017" "7.92" "0"
"166" "iandrav" "iandrav2231.csae@nighthack.in" "csae002" "2017" "8.98" "103"
"167" "..akhtswsi" "..akhtswsi1007.dsaip@nighthack.in" "dsaip031" "2014" "9.56" "1"
"168" "hdumni" "hdumni6031.pd@nighthack.in" "pd006" "2017" "9.11" "103"
"169" "seahng" "seahng9018.fpat@nighthack.in" "fpat019" "2018" "5.44" "156"
"170" "nukdmu" "nukdmu7005.eamm@nighthack.in" "eamm027" "2014" "8.55" "1"
"171" "ahmntsah" "ahmntsah7102.fm@nighthack.in" "fm047" "2018" "9.99" "13"
"172" "tsphhnara" "tsphhnara8009.te@nighthack.in" "te078" "2018" "6.41" "17"
"173" "eptrim" "eptrim8063.bohm@nighthack.in" "bohm008" "2015" "5.89" "3"
"174" "vitahak" "vitahak4031.mm@nighthack.in" "mm046" "2015" "9.34" "5"
"175" "hehesab" "hehesab6018.moha@nighthack.in" "moha086" "2017" "6.49" "2"
"176" "ardhboimpa" "ardhboimpa3013.eaee@nighthack.in" "eaee003" "2018" "4.76" "32"
"177" "qhasar" "qhasar9060.bop@nighthack.in" "bop009" "2016" "7.02" "179"
"178" "hnrvejiacie" "hnrvejiacie0004.dpips@nighthack.in" "dpips730" "2017" "9.62" "0"
"179" "uhnsias" "uhnsias1048.ce@nighthack.in" "ce001" "2015" "5.73" "16"
"180" "iwesanarht" "iwesanarht3020.eaee@nighthack.in" "eaee003" "2014" "5.06" "16"
"181" "nhabiaay" "nhabiaay1001.bods@nighthack.in" "bods011" "2018" "5.89" "8"
"182" "utist" "utist8005.cdae@nighthack.in" "cdae068" "2017" "4.97" "0"
"183" "krrceifd" "krrceifd8005.amd@nighthack.in" "amd028" "2014" "5.74" "2"
"184" "rudmahiam" "rudmahiam8047.bohm@nighthack.in" "bohm008" "2018" "8.59" "6"
"185" "isrnsavi" "isrnsavi4061.hrm@nighthack.in" "hrm048" "2014" "4.79" "3"
"186" "bhahsir" "bhahsir8092.bohm@nighthack.in" "bohm008" "2016" "8.47" "0"
"187" "humssa" "humssa8014.p@nighthack.in" "p058" "2018" "6.83" "0"
"188" "esvheer" "esvheer1013.ae@nighthack.in" "ae021" "2014" "9.55" "1"
"189" "dprsaa" "dprsaa7001.vsd@nighthack.in" "vsd217" "2015" "4.6" "18"
"190" "abahthr" "abahthr4010.eace@nighthack.in" "eace004" "2016" "6.33" "42"
"191" "avreepn" "avreepn0020.dop@nighthack.in" "dop010" "2016" "6.68" "13"
"192" "daraakln" "daraakln9001.bop@nighthack.in" "bop009" "2014" "8.64" "81"
"193" "dahtua" "dahtua6034.pd@nighthack.in" "pd006" "2016" "7.1" "29"
"194" "aajidrv" "aajidrv5307.me@nighthack.in" "me005" "2017" "9.18" "103"
"195" "esrsvha" "esrsvha4102.eace@nighthack.in" "eace004" "2017" "9.56" "18"
"196" "wpsroaoa" "wpsroaoa6006.csan@nighthack.in" "csan036" "2016" "9.73" "0"
"197" "djiagsha" "djiagsha7029.fm@nighthack.in" "fm047" "2016" "5.02" "0"
"198" "vrepean" "vrepean9018.dpieats@nighthack.in" "dpieats729" "2014" "8.01" "0"
"199" "mankvaaraeatn" "mankvaaraeatn2001.dpips@nighthack.in" "dpips730" "2014" "4.99" "3"
"200" "iahns" "iahns3025.eaee@nighthack.in" "eaee003" "2017" "7.35" "136"
"201" "blsahiah" "blsahiah2004.csae@nighthack.in" "csae002" "2017" "8.56" "84"
"202" "rkaunpiu" "rkaunpiu2087.csae@nighthack.in" "csae002" "2017" "7.65" "132"
"203" "inavhab" "inavhab4018.eace@nighthack.in" "eace004" "2018" "8.0" "7"
"204" "mhsontop" "mhsontop6049.pd@nighthack.in" "pd006" "2017" "5.41" "25"
"205" "ishtsah" "ishtsah5042.me@nighthack.in" "me005" "2018" "9.91" "11"
"206" "iuhishansb" "iuhishansb4076.fm@nighthack.in" "fm047" "2015" "9.7" "9"
"207" "egserhgaeve" "egserhgaeve6006.pd@nighthack.in" "pd006" "2018" "5.53" "23"
"208" "eesdpu" "eesdpu5081.me@nighthack.in" "me005" "2017" "6.81" "186"
"209" "kyava" "kyava0013.dop@nighthack.in" "dop010" "2018" "9.91" "0"
"210" "rtybaaacahth" "rtybaaacahth2018.ase@nighthack.in" "ase012" "2018" "7.35" "15"
"211" "nyeymkea" "nyeymkea0009.dpimacc@nighthack.in" "dpimacc751" "2016" "9.34" "0"
"212" "aganhme" "aganhme8018.b@nighthack.in" "b018" "2018" "8.57" "65"
"213" "gpaauadrppu" "gpaauadrppu1303.ce@nighthack.in" "ce001" "2016" "9.16" "30"
"214" "mislia" "mislia8083.bohm@nighthack.in" "bohm008" "2017" "5.57" "36"
"215" "emutes" "emutes3040.eaee@nighthack.in" "eaee003" "2016" "6.31" "34"
"216" "gagasaihnv" "gagasaihnv1008.dsaip@nighthack.in" "dsaip031" "2014" "6.53" "38"
"218" "rjawlap" "rjawlap6028.pd@nighthack.in" "pd006" "2016" "6.13" "19"
"219" "nlaulayr" "nlaulayr9020.csd@nighthack.in" "csd039" "2018" "5.76" "4"
"220" "htarbah" "htarbah1005.bods@nighthack.in" "bods011" "2015" "6.42" "3"
"221" "oarpo" "oarpo5052.me@nighthack.in" "me005" "2016" "5.17" "1"
"222" "anru" "anru2008.ase@nighthack.in" "ase012" "2018" "7.97" "31"
"223" "syunn" "syunn2182.csae@nighthack.in" "csae002" "2017" "9.55" "99"
"224" "alnvea" "alnvea0016.dop@nighthack.in" "dop010" "2014" "6.96" "56"
"225" "huhksman" "huhksman4009.eace@nighthack.in" "eace004" "2014" "7.93" "47"
"226" "uhasjti" "uhasjti6007.csan@nighthack.in" "csan036" "2016" "8.28" "0"
"227" "ndayhas" "ndayhas2405.csae@nighthack.in" "csae002" "2017" "5.43" "111"
"228" "ariphavt" "ariphavt6035.pd@nighthack.in" "pd006" "2017" "7.93" "0"
"229" "ssrnaiiv" "ssrnaiiv1015.baf@nighthack.in" "baf052" "2018" "8.08" "0"
"230" "ankodasughaar" "ankodasughaar3035.eaee@nighthack.in" "eaee003" "2017" "4.67" "125"
"231" "napva" "napva4304.eace@nighthack.in" "eace004" "2017" "9.69" "0"
"232" "trgmiaoa" "trgmiaoa2094.csae@nighthack.in" "csae002" "2017" "9.76" "13"
"233" "deinagdun" "deinagdun4001.caagd@nighthack.in" "caagd044" "2014" "9.32" "7"
"234" "naeueadzr" "naeueadzr9021.bop@nighthack.in" "bop009" "2017" "4.62" "18"
"235" "mitha" "mitha0005.dop@nighthack.in" "dop010" "2016" "8.22" "37"
"236" "japoo" "japoo3011.eaee@nighthack.in" "eaee003" "2014" "4.89" "24"
"237" "auamthjnn" "auamthjnn2060.csae@nighthack.in" "csae002" "2018" "9.34" "23"
"238" "venena" "venena9041.bop@nighthack.in" "bop009" "2018" "9.88" "19"
"239" "riah" "riah1004.ae@nighthack.in" "ae021" "2016" "9.63" "0"
"240" "htesih" "htesih2023.csae@nighthack.in" "csae002" "2015" "6.33" "55"
"241" "ehnteiv" "ehnteiv2090.csae@nighthack.in" "csae002" "2018" "9.95" "16"
"242" "rmaiban" "rmaiban1005.ae@nighthack.in" "ae021" "2018" "8.71" "4"
"243" "taimh" "taimh3008.me@nighthack.in" "me005" "2014" "6.48" "66"
"244" "stdihdrha" "stdihdrha1055.bods@nighthack.in" "bods011" "2016" "8.48" "44"
"245" "asaardanndhd" "asaardanndhd3032.eaee@nighthack.in" "eaee003" "2018" "7.94" "24"
"246" "ihmons" "ihmons5318.me@nighthack.in" "me005" "2015" "5.5" "38"
"247" "thretci" "thretci2018.csae@nighthack.in" "csae002" "2017" "9.81" "37"
"248" "arugurpasd" "arugurpasd1019.bods@nighthack.in" "bods011" "2015" "9.57" "1"
"249" "ijavy" "ijavy3317.eaee@nighthack.in" "eaee003" "2015" "8.36" "0"
"250" "eenuasibnnas" "eenuasibnnas4324.eace@nighthack.in" "eace004" "2015" "5.16" "0"
"251" "raoahutkt" "raoahutkt2134.csae@nighthack.in" "csae002" "2018" "9.99" "46"
"252" "tuhaagm" "tuhaagm4017.fm@nighthack.in" "fm047" "2014" "5.93" "7"
"253" "sahayjl" "sahayjl2043.ase@nighthack.in" "ase012" "2018" "6.89" "0"
"254" "ahbanmi" "ahbanmi7063.fm@nighthack.in" "fm047" "2018" "5.88" "3"
"255" "mdumahma" "mdumahma7030.hrm@nighthack.in" "hrm048" "2018" "6.02" "0"
"256" "ehaeghhzdlbe" "ehaeghhzdlbe7054.ba@nighthack.in" "ba017" "2018" "5.51" "24"
"257" "ynvaa" "ynvaa9027.bop@nighthack.in" "bop009" "2014" "5.91" "78"
"258" "niyhgasani" "niyhgasani2224.csae@nighthack.in" "csae002" "2017" "4.79" "149"
"259" "ihsnvai" "ihsnvai2038.ase@nighthack.in" "ase012" "2018" "5.51" "0"
"260" "lnaaeev" "lnaaeev4035.fm@nighthack.in" "fm047" "2015" "5.78" "12"
"261" "hamatam" "hamatam3311.eaee@nighthack.in" "eaee003" "2015" "9.23" "0"
"262" "roopka" "roopka1006.pd@nighthack.in" "pd041" "2016" "7.05" "2"
"263" "nakri" "nakri3005.ic@nighthack.in" "ic083" "2016" "9.07" "10"
"264" "uraamcmhi" "uraamcmhi2077.csae@nighthack.in" "csae002" "2016" "6.1" "19"
"265" "esthhuiydehr" "esthhuiydehr8028.bohm@nighthack.in" "bohm008" "2018" "7.89" "6"
"266" "oynosr" "oynosr7003.rtes@nighthack.in" "rtes037" "2016" "5.78" "1"
"267" "ukerna" "ukerna5005.sacse@nighthack.in" "sacse035" "2014" "7.28" "10"
"268" "ugaimrmana" "ugaimrmana4150.eace@nighthack.in" "eace004" "2017" "7.18" "25"
"269" "satakihh" "satakihh8012.bohm@nighthack.in" "bohm008" "2016" "7.18" "94"
"270" "alpik" "alpik5056.me@nighthack.in" "me005" "2015" "5.43" "28"
"271" "nihtasa" "nihtasa1048.bods@nighthack.in" "bods011" "2015" "9.64" "13"
"272" "aadvarrgenh" "aadvarrgenh5061.me@nighthack.in" "me005" "2015" "9.42" "18"
"273" "hinsakrn" "hinsakrn8086.bohm@nighthack.in" "bohm008" "2017" "9.05" "137"
"274" "abnniaahdn" "abnniaahdn4001.emd@nighthack.in" "emd034" "2018" "7.72" "3"
"275" "htnaehc" "htnaehc6020.hrm@nighthack.in" "hrm048" "2017" "6.01" "4"
"276" "hpktrshayaua" "hpktrshayaua1003.dpimacs@nighthack.in" "dpimacs731" "2016" "8.56" "0"
"277" "abalirm" "abalirm5305.me@nighthack.in" "me005" "2016" "6.39" "0"
"278" "deailn" "deailn9022.bop@nighthack.in" "bop009" "2015" "7.73" "67"
"279" "bkhaiesh" "bkhaiesh7026.fm@nighthack.in" "fm047" "2016" "5.15" "3"
"280" "tkrkhai" "tkrkhai2081.csae@nighthack.in" "csae002" "2017" "8.53" "49"
"281" "dahnanyabna" "dahnanyabna4001.eace@nighthack.in" "eace004" "2017" "8.37" "0"
"282" "aotsshn" "aotsshn2112.csae@nighthack.in" "csae002" "2016" "6.86" "178"
"283" "thisvahs" "thisvahs2147.csae@nighthack.in" "csae002" "2018" "4.79" "6"
"284" "naahrac" "naahrac2030.csae@nighthack.in" "csae002" "2017" "5.68" "39"
"285" "apadrs" "apadrs2002.dpidsa@nighthack.in" "dpidsa722" "2016" "9.19" "0"
"286" "rspanhu" "rspanhu2012.csae@nighthack.in" "csae002" "2015" "7.66" "27"
"287" "amsyutodopi" "amsyutodopi8037.b@nighthack.in" "b018" "2018" "5.19" "45"
"288" "iiahtcnsh" "iiahtcnsh8057.bohm@nighthack.in" "bohm008" "2015" "7.28" "76"
"289" "aahhtrish" "aahhtrish1021.bods@nighthack.in" "bods011" "2018" "8.12" "24"
"290" "iehhaskb" "iehhaskb1031.ce@nighthack.in" "ce001" "2014" "6.01" "94"
"291" "hiavndn" "hiavndn9012.fpat@nighthack.in" "fpat019" "2018" "9.07" "33"
